psgc,name,correspondence_code,geographic_level,old_names,city_class,income_classification,urban_rural,population_2015,,population_2020,,status
1380606112,Barangay 506,133906112,Bgy,,,,U,610,,668,,
1380606111,Barangay 505,133906111,Bgy,,,,U,1380,,1200,,
1380606110,Barangay 504,133906110,Bgy,,,,U,1299,,1312,,
1380606109,Barangay 503,133906109,Bgy,,,,U,1438,,1183,,
1380606108,Barangay 502,133906108,Bgy,,,,U,957,,815,,
1380606107,Barangay 501,133906107,Bgy,,,,U,1402,,845,,
1380606106,Barangay 500,133906106,Bgy,,,,U,2717,,2562,,
1380606105,Barangay 499,133906105,Bgy,,,,U,1551,,1498,,
1380606104,Barangay 498,133906104,Bgy,,,,U,1291,,1033,,
1380606103,Barangay 497,133906103,Bgy,,,,U,1289,,1489,,
1380606102,Barangay 496,133906102,Bgy,,,,U,989,,1177,,
1380606101,Barangay 495,133906101,Bgy,,,,U,1908,,1906,,
1380606100,Barangay 494,133906100,Bgy,,,,U,1967,,2318,,
1380606099,Barangay 493,133906099,Bgy,,,,U,1077,,1170,,
1380606098,Barangay 492,133906098,Bgy,,,,U,1110,,1107,,
1380606097,Barangay 491,133906097,Bgy,,,,U,905,,813,,
1380606096,Barangay 490,133906096,Bgy,,,,U,357,,471,,
1380606095,Barangay 489,133906095,Bgy,,,,U,921,,1142,,
1380606094,Barangay 488,133906094,Bgy,,,,U,915,,783,,
1380606093,Barangay 487,133906093,Bgy,,,,U,1474,,1457,,
1380606092,Barangay 486,133906092,Bgy,,,,U,1074,,969,,
1380606091,Barangay 485,133906091,Bgy,,,,U,1688,,1337,,
1380606090,Barangay 484,133906090,Bgy,,,,U,1640,,1777,,
1380606089,Barangay 483,133906089,Bgy,,,,U,1571,,1369,,
1380606088,Barangay 482,133906088,Bgy,,,,U,874,,701,,
1380606087,Barangay 481,133906087,Bgy,,,,U,306,,1004,,
1380606086,Barangay 480,133906086,Bgy,,,,U,820,,810,,
1380606085,Barangay 479,133906085,Bgy,,,,U,974,,2307,,
1380606084,Barangay 478,133906084,Bgy,,,,U,1079,,1129,,
1380606083,Barangay 477,133906083,Bgy,,,,U,827,,1045,,
1380606082,Barangay 476,133906082,Bgy,,,,U,1145,,1268,,
1380606081,Barangay 475,133906081,Bgy,,,,U,1892,,1664,,
1380606080,Barangay 474,133906080,Bgy,,,,U,1652,,1655,,
1380606079,Barangay 473,133906079,Bgy,,,,U,1498,,1383,,
1380606078,Barangay 472,133906078,Bgy,,,,U,1179,,1122,,
1380606077,Barangay 471,133906077,Bgy,,,,U,1016,,1415,,
1380606076,Barangay 470,133906076,Bgy,,,,U,590,,2260,,
1380606075,Barangay 469,133906075,Bgy,,,,U,513,,1956,,
1380606074,Barangay 468,133906074,Bgy,,,,U,453,,1300,,
1380606073,Barangay 467,133906073,Bgy,,,,U,820,,1160,,
1380606072,Barangay 466,133906072,Bgy,,,,U,530,,1237,,
1380606071,Barangay 465,133906071,Bgy,,,,U,497,,762,,
1380606070,Barangay 464,133906070,Bgy,,,,U,4242,,2954,,
1380606069,Barangay 463,133906069,Bgy,,,,U,422,,830,,
1380606068,Barangay 462,133906068,Bgy,,,,U,734,,1528,,
1380606067,Barangay 461,133906067,Bgy,,,,U,912,,863,,
1380606066,Barangay 460,133906066,Bgy,,,,U,925,,789,,
1380606065,Barangay 459,133906065,Bgy,,,,U,615,,752,,
1380606064,Barangay 458,133906064,Bgy,,,,U,2555,,1462,,
1380606063,Barangay 457,133906063,Bgy,,,,U,806,,2445,,
1380606062,Barangay 456,133906062,Bgy,,,,U,2094,,1530,,
1380606061,Barangay 455,133906061,Bgy,,,,U,1416,,1274,,
1380606060,Barangay 454,133906060,Bgy,,,,U,1268,,1153,,
1380606059,Barangay 453,133906059,Bgy,,,,U,1464,,1492,,
1380606058,Barangay 452,133906058,Bgy,,,,U,977,,1039,,
1380606057,Barangay 451,133906057,Bgy,,,,U,1598,,1027,,
1380606056,Barangay 450,133906056,Bgy,,,,U,2020,,1835,,
1380606055,Barangay 449,133906055,Bgy,,,,U,1562,,1402,,
1380606054,Barangay 448,133906054,Bgy,,,,U,1229,,1375,,
1380606053,Barangay 447,133906053,Bgy,,,,U,1591,,1454,,
1380606052,Barangay 446,133906052,Bgy,,,,U,798,,1002,,
1380606051,Barangay 445,133906051,Bgy,,,,U,891,,931,,
1380606050,Barangay 444,133906050,Bgy,,,,U,1016,,941,,
1380606049,Barangay 443,133906049,Bgy,,,,U,1471,,1382,,
1380606048,Barangay 442,133906048,Bgy,,,,U,874,,670,,
1380606047,Barangay 441,133906047,Bgy,,,,U,944,,856,,
1380606046,Barangay 440,133906046,Bgy,,,,U,1017,,1004,,
1380606045,Barangay 439,133906045,Bgy,,,,U,1786,,1052,,
1380606044,Barangay 438,133906044,Bgy,,,,U,722,,712,,
1380606043,Barangay 437,133906043,Bgy,,,,U,1048,,899,,
1380606042,Barangay 436,133906042,Bgy,,,,U,1186,,964,,
1380606041,Barangay 435,133906041,Bgy,,,,U,847,,592,,
1380606040,Barangay 434,133906040,Bgy,,,,U,1134,,1173,,
1380606039,Barangay 433,133906039,Bgy,,,,U,456,,464,,
1380606038,Barangay 432,133906038,Bgy,,,,U,3544,,3436,,
1380606037,Barangay 431,133906037,Bgy,,,,U,787,,700,,
1380606036,Barangay 430,133906036,Bgy,,,,U,595,,508,,
1380606035,Barangay 429,133906035,Bgy,,,,U,2428,,2814,,
1380606034,Barangay 428,133906034,Bgy,,,,U,1351,,1304,,
1380606033,Barangay 427,133906033,Bgy,,,,U,677,,495,,
1380606032,Barangay 426,133906032,Bgy,,,,U,1342,,1786,,
1380606031,Barangay 425,133906031,Bgy,,,,U,1578,,2087,,
1380606030,Barangay 424,133906030,Bgy,,,,U,2274,,1900,,
1380606029,Barangay 423,133906029,Bgy,,,,U,1397,,1307,,
1380606028,Barangay 422,133906028,Bgy,,,,U,2283,,2304,,
1380606027,Barangay 421,133906027,Bgy,,,,U,1351,,1474,,
1380606026,Barangay 420,133906026,Bgy,,,,U,2811,,3134,,
1380606025,Barangay 419,133906025,Bgy,,,,U,2016,,1696,,
1380606024,Barangay 418,133906024,Bgy,,,,U,2977,,2835,,
1380606023,Barangay 417,133906023,Bgy,,,,U,1748,,2011,,
1380606022,Barangay 416,133906022,Bgy,,,,U,1078,,821,,
1380606021,Barangay 415,133906021,Bgy,,,,U,840,,884,,
1380606020,Barangay 414,133906020,Bgy,,,,U,1220,,1716,,
1380606019,Barangay 413,133906019,Bgy,,,,U,2283,,1702,,
1380606018,Barangay 412,133906018,Bgy,,,,U,1646,,1890,,
1380606017,Barangay 411,133906017,Bgy,,,,U,1263,,1903,,
1380606016,Barangay 410,133906016,Bgy,,,,U,1821,,2424,,
1380606015,Barangay 409,133906015,Bgy,,,,U,2379,,1921,,
1380606014,Barangay 408,133906014,Bgy,,,,U,1199,,1768,,
1380606013,Barangay 407,133906013,Bgy,,,,U,1155,,1571,,
1380606012,Barangay 406,133906012,Bgy,,,,U,622,,449,,
1380606011,Barangay 405,133906011,Bgy,,,,U,1005,,999,,
1380606010,Barangay 404,133906010,Bgy,,,,U,903,,723,,
1380606009,Barangay 403,133906009,Bgy,,,,U,1406,,630,,
1380606008,Barangay 402,133906008,Bgy,,,,U,3649,,2758,,
1380606007,Barangay 401,133906007,Bgy,,,,U,2058,,2333,,
1380606006,Barangay 400,133906006,Bgy,,,,U,1327,,1504,,
1380606005,Barangay 399,133906005,Bgy,,,,U,909,,1068,,
1380606004,Barangay 398,133906004,Bgy,,,,U,2228,,3068,,
1380606003,Barangay 397,133906003,Bgy,,,,U,2111,,4175,,
1380606002,Barangay 396,133906002,Bgy,,,,U,1709,,1666,,
1380606001,Barangay 395,133906001,Bgy,,,,U,632,,1222,,
1380606000,Sampaloc,133906000,SubMun,,,,,375119,,388305,,
1380605085,Barangay 382,133905085,Bgy,,,,U,946,,896,,
1380605084,Barangay 381,133905084,Bgy,,,,U,1376,,1591,,
1380605083,Barangay 380,133905083,Bgy,,,,U,897,,921,,
1380605082,Barangay 379,133905082,Bgy,,,,U,680,,654,,
1380605081,Barangay 378,133905081,Bgy,,,,U,1136,,602,,
1380605080,Barangay 377,133905080,Bgy,,,,U,516,,578,,
1380605079,Barangay 376,133905079,Bgy,,,,U,1006,,930,,
1380605078,Barangay 375,133905078,Bgy,,,,U,3711,,3909,,
1380605077,Barangay 374,133905077,Bgy,,,,U,3615,,3277,,
1380605076,Barangay 373,133905076,Bgy,,,,U,4004,,3788,,
1380605075,Barangay 372,133905075,Bgy,,,,U,3638,,4136,,
1380605074,Barangay 371,133905074,Bgy,,,,U,839,,842,,
1380605073,Barangay 370,133905073,Bgy,,,,U,744,,772,,
1380605072,Barangay 369,133905072,Bgy,,,,U,1186,,1396,,
1380605071,Barangay 368,133905071,Bgy,,,,U,1293,,1337,,
1380605070,Barangay 367,133905070,Bgy,,,,U,1653,,1708,,
1380605069,Barangay 366,133905069,Bgy,,,,U,1062,,1193,,
1380605067,Barangay 365,133905067,Bgy,,,,U,1328,,1278,,
1380605066,Barangay 364,133905066,Bgy,,,,U,2039,,1985,,
1380605065,Barangay 363,133905065,Bgy,,,,U,562,,559,,
1380605064,Barangay 362,133905064,Bgy,,,,U,575,,252,,
1380605063,Barangay 361,133905063,Bgy,,,,U,781,,715,,
1380605062,Barangay 360,133905062,Bgy,,,,U,893,,741,,
1380605061,Barangay 359,133905061,Bgy,,,,U,363,,410,,
1380605060,Barangay 358,133905060,Bgy,,,,U,831,,1029,,
1380605059,Barangay 357,133905059,Bgy,,,,U,884,,736,,
1380605058,Barangay 356,133905058,Bgy,,,,U,386,,505,,
1380605057,Barangay 355,133905057,Bgy,,,,U,1075,,970,,
1380605056,Barangay 354,133905056,Bgy,,,,U,1824,,1810,,
1380605055,Barangay 353,133905055,Bgy,,,,U,2246,,2232,,
1380605054,Barangay 352,133905054,Bgy,,,,U,1640,,1342,,
1380605053,Barangay 351,133905053,Bgy,,,,U,3805,,3401,,
1380605052,Barangay 350,133905052,Bgy,,,,U,4232,,6776,,
1380605051,Barangay 349,133905051,Bgy,,,,U,704,,788,,
1380605050,Barangay 348,133905050,Bgy,,,,U,1049,,1249,,
1380605049,Barangay 347,133905049,Bgy,,,,U,1320,,1266,,
1380605048,Barangay 346,133905048,Bgy,,,,U,1548,,1511,,
1380605047,Barangay 345,133905047,Bgy,,,,U,1324,,1149,,
1380605046,Barangay 344,133905046,Bgy,,,,U,633,,536,,
1380605045,Barangay 343,133905045,Bgy,,,,U,1880,,2209,,
1380605044,Barangay 342,133905044,Bgy,,,,U,1877,,1634,,
1380605043,Barangay 341,133905043,Bgy,,,,U,1819,,1463,,
1380605042,Barangay 340,133905042,Bgy,,,,U,2096,,2009,,
1380605041,Barangay 339,133905041,Bgy,,,,U,1705,,1265,,
1380605040,Barangay 338,133905040,Bgy,,,,U,1281,,1378,,
1380605039,Barangay 337,133905039,Bgy,,,,U,1662,,1386,,
1380605038,Barangay 336,133905038,Bgy,,,,U,2108,,2134,,
1380605037,Barangay 335,133905037,Bgy,,,,U,1753,,1350,,
1380605036,Barangay 334,133905036,Bgy,,,,U,1751,,1461,,
1380605035,Barangay 333,133905035,Bgy,,,,U,967,,877,,
1380605034,Barangay 332,133905034,Bgy,,,,U,482,,582,,
1380605033,Barangay 331,133905033,Bgy,,,,U,1134,,924,,
1380605032,Barangay 330,133905032,Bgy,,,,U,2393,,2244,,
1380605031,Barangay 329,133905031,Bgy,,,,U,728,,439,,
1380605030,Barangay 328,133905030,Bgy,,,,U,752,,679,,
1380605029,Barangay 327,133905029,Bgy,,,,U,1310,,1239,,
1380605028,Barangay 326,133905028,Bgy,,,,U,927,,825,,
1380605027,Barangay 325,133905027,Bgy,,,,U,863,,522,,
1380605026,Barangay 324,133905026,Bgy,,,,U,868,,605,,
1380605025,Barangay 323,133905025,Bgy,,,,U,1270,,1060,,
1380605024,Barangay 322,133905024,Bgy,,,,U,767,,799,,
1380605023,Barangay 321,133905023,Bgy,,,,U,499,,240,,
1380605022,Barangay 320,133905022,Bgy,,,,U,1126,,1300,,
1380605021,Barangay 319,133905021,Bgy,,,,U,1036,,1209,,
1380605020,Barangay 318,133905020,Bgy,,,,U,1057,,740,,
1380605019,Barangay 317,133905019,Bgy,,,,U,1619,,1542,,
1380605018,Barangay 316,133905018,Bgy,,,,U,1217,,829,,
1380605017,Barangay 315,133905017,Bgy,,,,U,1716,,1786,,
1380605016,Barangay 314,133905016,Bgy,,,,U,2189,,2064,,
1380605015,Barangay 313,133905015,Bgy,,,,U,1534,,2848,,
1380605014,Barangay 312,133905014,Bgy,,,,U,2887,,3328,,
1380605013,Barangay 311,133905013,Bgy,,,,U,1891,,2401,,
1380605012,Barangay 310,133905012,Bgy,,,,U,20483,,13602,,
1380605009,Barangay 305,133905009,Bgy,,,,U,533,,645,,
1380605008,Barangay 304,133905008,Bgy,,,,U,250,,298,,
1380605007,Barangay 303,133905007,Bgy,,,,U,393,,641,,
1380605006,Barangay 302,133905006,Bgy,,,,U,682,,654,,
1380605005,Barangay 301,133905005,Bgy,,,,U,271,,448,,
1380605004,Barangay 300,133905004,Bgy,,,,U,615,,981,,
1380605003,Barangay 299,133905003,Bgy,,,,U,1684,,1300,,
1380605002,Barangay 298,133905002,Bgy,,,,U,698,,1020,,
1380605001,Barangay 297,133905001,Bgy,,,,U,1076,,2005,,
1380605000,Santa Cruz,133905000,SubMun,,,,,132193,,126735,,
1380604019,Barangay 286,133904019,Bgy,,,,U,3679,,4710,,
1380604018,Barangay 285,133904018,Bgy,,,,U,2306,,2066,,
1380604017,Barangay 284,133904017,Bgy,,,,U,1032,,961,,
1380604016,Barangay 283,133904016,Bgy,,,,U,1982,,1345,,
1380604015,Barangay 282,133904015,Bgy,,,,U,2548,,2458,,
1380604014,Barangay 281,133904014,Bgy,,,,U,2181,,2288,,
1380604009,Barangay 276,133904009,Bgy,,,,U,2524,,2543,,
1380604008,Barangay 275,133904008,Bgy,,,,U,19031,,19809,,
1380604007,Barangay 274,133904007,Bgy,,,,U,1857,,1944,,
1380604006,Barangay 273,133904006,Bgy,,,,U,988,,825,,
1380604005,Barangay 272,133904005,Bgy,,,,U,1255,,1064,,
1380604004,Barangay 271,133904004,Bgy,,,,U,572,,633,,
1380604003,Barangay 270,133904003,Bgy,,,,U,1179,,918,,
1380604002,Barangay 269,133904002,Bgy,,,,U,1050,,904,,
1380604001,Barangay 268,133904001,Bgy,,,,U,885,,489,,
1380604000,San Nicolas,133904000,SubMun,,,,,43069,,42957,,
1380603018,Barangay 309,133903018,Bgy,,,,U,1283,,1151,,
1380603017,Barangay 308,133903017,Bgy,,,,U,925,,1033,,
1380603016,Barangay 307,133903016,Bgy,,,,U,1142,,1378,,
1380603015,Barangay 306,133903015,Bgy,,,,U,1310,,1248,,
1380603014,Barangay 394,133903014,Bgy,,,,U,1548,,1433,,
1380603013,Barangay 393,133903013,Bgy,,,,U,3876,,4073,,
1380603012,Barangay 392,133903012,Bgy,,,,U,677,,695,,
1380603011,Barangay 391,133903011,Bgy,,,,U,2639,,2558,,
1380603010,Barangay 390,133903010,Bgy,,,,U,762,,792,,
1380603009,Barangay 389,133903009,Bgy,,,,U,1056,,1174,,
1380603008,Barangay 388,133903008,Bgy,,,,U,989,,1260,,
1380603007,Barangay 387,133903007,Bgy,,,,U,2994,,2654,,
1380603006,Barangay 386,133903006,Bgy,,,,U,1341,,1213,,
1380603005,Barangay 385,133903005,Bgy,,,,U,2920,,3406,,
1380603004,Barangay 384,133903004,Bgy,,,,U,3195,,3511,,
1380603003,Barangay 383,133903003,Bgy,,,,U,1821,,2267,,
1380603000,Quiapo,133903000,SubMun,,,,,28478,,29846,,
1380602010,Barangay 296,133902010,Bgy,,,,U,1425,,1195,,
1380602009,Barangay 295,133902009,Bgy,,,,U,1154,,1531,,
1380602008,Barangay 294,133902008,Bgy,,,,U,2415,,1881,,
1380602007,Barangay 293,133902007,Bgy,,,,U,2937,,3565,,
1380602006,Barangay 292,133902006,Bgy,,,,U,3144,,2846,,
1380602005,Barangay 291,133902005,Bgy,,,,U,1383,,2279,,
1380602004,Barangay 290,133902004,Bgy,,,,U,1413,,1093,,
1380602003,Barangay 289,133902003,Bgy,,,,U,571,,1017,,
1380602002,Barangay 288,133902002,Bgy,,,,U,1549,,2538,,
1380602001,Barangay 287,133902001,Bgy,,,,U,2049,,2546,,
1380602000,Binondo,133902000,SubMun,,,,,18040,,20491,,
1380601268,Barangay 267,133901268,Bgy,,,,U,2195,,1952,,
1380601267,Barangay 266,133901267,Bgy,,,,U,1482,,1665,,
1380601266,Barangay 265,133901266,Bgy,,,,U,593,,125,,
1380601265,Barangay 264,133901265,Bgy,,,,U,1823,,2443,,
1380601264,Barangay 263,133901264,Bgy,,,,U,1786,,1306,,
1380601263,Barangay 262,133901263,Bgy,,,,U,2226,,1736,,
1380601262,Barangay 261,133901262,Bgy,,,,U,800,,735,,
1380601261,Barangay 260,133901261,Bgy,,,,U,1341,,1645,,
1380601260,Barangay 259,133901260,Bgy,,,,U,3362,,2090,,
1380601259,Barangay 258,133901259,Bgy,,,,U,908,,1181,,
1380601258,Barangay 257,133901258,Bgy,,,,U,796,,1308,,
1380601257,Barangay 256,133901257,Bgy,,,,U,2086,,1030,,
1380601256,Barangay 255,133901256,Bgy,,,,U,2000,,1086,,
1380601255,Barangay 254,133901255,Bgy,,,,U,2853,,3713,,
1380601254,Barangay 253,133901254,Bgy,,,,U,1491,,1329,,
1380601253,Barangay 252,133901253,Bgy,,,,U,253,,910,,
1380601252,Barangay 251,133901252,Bgy,,,,U,723,,1181,,
1380601251,Barangay 250,133901251,Bgy,,,,U,1284,,1182,,
1380601250,Barangay 249,133901250,Bgy,,,,U,784,,1610,,
1380601249,Barangay 248,133901249,Bgy,,,,U,485,,503,,
1380601248,Barangay 247,133901248,Bgy,,,,U,542,,737,,
1380601247,Barangay 246,133901247,Bgy,,,,U,1260,,1254,,
1380601246,Barangay 245,133901246,Bgy,,,,U,350,,281,,
1380601245,Barangay 244,133901245,Bgy,,,,U,1029,,640,,
1380601244,Barangay 243,133901244,Bgy,,,,U,338,,436,,
1380601243,Barangay 242,133901243,Bgy,,,,U,712,,448,,
1380601242,Barangay 241,133901242,Bgy,,,,U,634,,447,,
1380601241,Barangay 240,133901241,Bgy,,,,U,103,,56,,
1380601240,Barangay 239,133901240,Bgy,,,,U,1744,,1785,,
1380601239,Barangay 238,133901239,Bgy,,,,U,464,,364,,
1380601238,Barangay 237,133901238,Bgy,,,,U,605,,452,,
1380601237,Barangay 236,133901237,Bgy,,,,U,620,,801,,
1380601236,Barangay 235,133901236,Bgy,,,,U,1721,,1557,,
1380601235,Barangay 234,133901235,Bgy,,,,U,1650,,1945,,
1380601234,Barangay 233,133901234,Bgy,,,,U,1648,,735,,
1380601233,Barangay 232,133901233,Bgy,,,,U,2339,,1778,,
1380601232,Barangay 231,133901232,Bgy,,,,U,2432,,1888,,
1380601231,Barangay 230,133901231,Bgy,,,,U,1345,,2364,,
1380601230,Barangay 229,133901230,Bgy,,,,U,1281,,1545,,
1380601229,Barangay 228,133901229,Bgy,,,,U,2015,,3010,,
1380601228,Barangay 227,133901228,Bgy,,,,U,2939,,1836,,
1380601227,Barangay 226,133901227,Bgy,,,,U,1513,,1562,,
1380601226,Barangay 225,133901226,Bgy,,,,U,2444,,2419,,
1380601225,Barangay 224,133901225,Bgy,,,,U,1039,,1069,,
1380601224,Barangay 223,133901224,Bgy,,,,U,1489,,1629,,
1380601223,Barangay 222,133901223,Bgy,,,,U,1966,,2040,,
1380601222,Barangay 221,133901222,Bgy,,,,U,2914,,3353,,
1380601221,Barangay 220,133901221,Bgy,,,,U,1536,,1270,,
1380601220,Barangay 219,133901220,Bgy,,,,U,817,,1080,,
1380601219,Barangay 218,133901219,Bgy,,,,U,682,,321,,
1380601218,Barangay 217,133901218,Bgy,,,,U,1053,,1263,,
1380601217,Barangay 216,133901217,Bgy,,,,U,2787,,2431,,
1380601216,Barangay 215,133901216,Bgy,,,,U,2896,,3106,,
1380601215,Barangay 214,133901215,Bgy,,,,U,1373,,1577,,
1380601214,Barangay 213,133901214,Bgy,,,,U,2913,,3231,,
1380601213,Barangay 212,133901213,Bgy,,,,U,2649,,2675,,
1380601212,Barangay 211,133901212,Bgy,,,,U,2688,,2007,,
1380601211,Barangay 210,133901211,Bgy,,,,U,3154,,3212,,
1380601210,Barangay 209,133901210,Bgy,,,,U,3195,,5075,,
1380601209,Barangay 208,133901209,Bgy,,,,U,1075,,635,,
1380601208,Barangay 207,133901208,Bgy,,,,U,1101,,1541,,
1380601207,Barangay 206,133901207,Bgy,,,,U,2065,,2433,,
1380601206,Barangay 205,133901206,Bgy,,,,U,1496,,1760,,
1380601205,Barangay 204,133901205,Bgy,,,,U,2219,,2684,,
1380601204,Barangay 203,133901204,Bgy,,,,U,2816,,2462,,
1380601203,Barangay 202-A,133901203,Bgy,,,,U,578,,1213,,
1380601202,Barangay 202,133901202,Bgy,,,,U,1115,,1420,,
1380601201,Barangay 201,133901201,Bgy,,,,U,1711,,1152,,
1380601200,Barangay 200,133901200,Bgy,,,,U,1852,,1666,,
1380601199,Barangay 199,133901199,Bgy,,,,U,3355,,3471,,
1380601198,Barangay 198,133901198,Bgy,,,,U,5397,,5032,,
1380601197,Barangay 197,133901197,Bgy,,,,U,873,,523,,
1380601196,Barangay 196,133901196,Bgy,,,,U,1029,,1631,,
1380601195,Barangay 195,133901195,Bgy,,,,U,1225,,1401,,
1380601194,Barangay 194,133901194,Bgy,,,,U,888,,775,,
1380601193,Barangay 193,133901193,Bgy,,,,U,1183,,979,,
1380601192,Barangay 192,133901192,Bgy,,,,U,1638,,1878,,
1380601191,Barangay 191,133901191,Bgy,,,,U,712,,703,,
1380601190,Barangay 190,133901190,Bgy,,,,U,1171,,1232,,
1380601189,Barangay 189,133901189,Bgy,,,,U,1546,,1481,,
1380601188,Barangay 188,133901188,Bgy,,,,U,1292,,865,,
1380601187,Barangay 187,133901187,Bgy,,,,U,871,,886,,
1380601186,Barangay 186,133901186,Bgy,,,,U,1884,,1678,,
1380601185,Barangay 185,133901185,Bgy,,,,U,3497,,3532,,
1380601184,Barangay 184,133901184,Bgy,,,,U,3562,,3311,,
1380601183,Barangay 183,133901183,Bgy,,,,U,2874,,8424,,
1380601182,Barangay 182,133901182,Bgy,,,,U,6002,,3936,,
1380601181,Barangay 181,133901181,Bgy,,,,U,2498,,2773,,
1380601180,Barangay 180,133901180,Bgy,,,,U,3267,,2145,,
1380601179,Barangay 179,133901179,Bgy,,,,U,3076,,1021,,
1380601178,Barangay 178,133901178,Bgy,,,,U,1250,,1519,,
1380601177,Barangay 177,133901177,Bgy,,,,U,3239,,3308,,
1380601176,Barangay 176,133901176,Bgy,,,,U,1396,,1278,,
1380601175,Barangay 175,133901175,Bgy,,,,U,1108,,988,,
1380601174,Barangay 174,133901174,Bgy,,,,U,635,,715,,
1380601173,Barangay 173,133901173,Bgy,,,,U,2037,,1616,,
1380601172,Barangay 172,133901172,Bgy,,,,U,1464,,1210,,
1380601171,Barangay 171,133901171,Bgy,,,,U,1383,,1124,,
1380601170,Barangay 170,133901170,Bgy,,,,U,882,,1378,,
1380601169,Barangay 169,133901169,Bgy,,,,U,1707,,914,,
1380601168,Barangay 168,133901168,Bgy,,,,U,1342,,1387,,
1380601167,Barangay 167,133901167,Bgy,,,,U,1256,,926,,
1380601166,Barangay 166,133901166,Bgy,,,,U,1139,,882,,
1380601165,Barangay 165,133901165,Bgy,,,,U,989,,1014,,
1380601164,Barangay 164,133901164,Bgy,,,,U,2083,,1807,,
1380601163,Barangay 163,133901163,Bgy,,,,U,5390,,3840,,
1380601162,Barangay 162,133901162,Bgy,,,,U,716,,556,,
1380601161,Barangay 161,133901161,Bgy,,,,U,1157,,1004,,
1380601160,Barangay 160,133901160,Bgy,,,,U,2375,,1256,,
1380601159,Barangay 159,133901159,Bgy,,,,U,1701,,1558,,
1380601158,Barangay 158,133901158,Bgy,,,,U,2213,,1934,,
1380601157,Barangay 157,133901157,Bgy,,,,U,2075,,1505,,
1380601156,Barangay 156,133901156,Bgy,,,,U,1581,,1615,,
1380601155,Barangay 155,133901155,Bgy,,,,U,2916,,3257,,
1380601154,Barangay 154,133901154,Bgy,,,,U,1112,,948,,
1380601153,Barangay 153,133901153,Bgy,,,,U,2703,,2051,,
1380601152,Barangay 152,133901152,Bgy,,,,U,3502,,6218,,
1380601151,Barangay 151,133901151,Bgy,,,,U,1399,,1639,,
1380601150,Barangay 150,133901150,Bgy,,,,U,2396,,2277,,
1380601149,Barangay 149,133901149,Bgy,,,,U,1739,,1554,,
1380601148,Barangay 148,133901148,Bgy,,,,U,2414,,2333,,
1380601147,Barangay 147,133901147,Bgy,,,,U,2140,,2275,,
1380601146,Barangay 146,133901146,Bgy,,,,U,2734,,2895,,
1380601145,Barangay 145,133901145,Bgy,,,,U,1117,,1029,,
1380601144,Barangay 144,133901144,Bgy,,,,U,1775,,880,,
1380601143,Barangay 143,133901143,Bgy,,,,U,992,,1401,,
1380601142,Barangay 142,133901142,Bgy,,,,U,1729,,1710,,
1380601141,Barangay 141,133901141,Bgy,,,,U,506,,529,,
1380601140,Barangay 140,133901140,Bgy,,,,U,671,,543,,
1380601139,Barangay 139,133901139,Bgy,,,,U,426,,371,,
1380601138,Barangay 138,133901138,Bgy,,,,U,2990,,2939,,
1380601137,Barangay 137,133901137,Bgy,,,,U,827,,911,,
1380601136,Barangay 136,133901136,Bgy,,,,U,928,,1197,,
1380601135,Barangay 135,133901135,Bgy,,,,U,2057,,1935,,
1380601134,Barangay 134,133901134,Bgy,,,,U,1041,,1058,,
1380601133,Barangay 133,133901133,Bgy,,,,U,2263,,2115,,
1380601132,Barangay 132,133901132,Bgy,,,,U,1036,,925,,
1380601131,Barangay 131,133901131,Bgy,,,,U,1443,,1621,,
1380601130,Barangay 130,133901130,Bgy,,,,U,1816,,1758,,
1380601129,Barangay 129,133901129,Bgy,,,,U,5361,,5716,,
1380601128,Barangay 128,133901128,Bgy,,,,U,18218,,23702,,
1380601127,Barangay 127,133901127,Bgy,,,,U,597,,565,,
1380601126,Barangay 126,133901126,Bgy,,,,U,1054,,1162,,
1380601125,Barangay 125,133901125,Bgy,,,,U,2098,,4510,,
1380601124,Barangay 124,133901124,Bgy,,,,U,2626,,159,,
1380601123,Barangay 123,133901123,Bgy,,,,U,8490,,8660,,
1380601122,Barangay 122,133901122,Bgy,,,,U,4257,,3824,,
1380601121,Barangay 121,133901121,Bgy,,,,U,5617,,4511,,
1380601120,Barangay 120,133901120,Bgy,,,,U,3525,,3873,,
1380601119,Barangay 119,133901119,Bgy,,,,U,3251,,2345,,
1380601118,Barangay 118,133901118,Bgy,,,,U,10077,,10840,,
1380601117,Barangay 117,133901117,Bgy,,,,U,4396,,4160,,
1380601116,Barangay 116,133901116,Bgy,,,,U,6946,,5943,,
1380601112,Barangay 112,133901112,Bgy,,,,U,3752,,5593,,
1380601111,Barangay 111,133901111,Bgy,,,,U,1978,,2661,,
1380601110,Barangay 110,133901110,Bgy,,,,U,2524,,2677,,
1380601109,Barangay 109,133901109,Bgy,,,,U,3646,,3254,,
1380601108,Barangay 108,133901108,Bgy,,,,U,5079,,5391,,
1380601107,Barangay 107,133901107,Bgy,,,,U,6377,,7003,,
1380601106,Barangay 106,133901106,Bgy,,,,U,2851,,2513,,
1380601105,Barangay 105,133901105,Bgy,,,,U,23206,,24971,,
1380601104,Barangay 104,133901104,Bgy,,,,U,5334,,5741,,
1380601103,Barangay 103,133901103,Bgy,,,,U,4431,,4772,,
1380601102,Barangay 102,133901102,Bgy,,,,U,3418,,4157,,
1380601101,Barangay 101,133901101,Bgy,,,,U,11853,,15358,,
